업종,제목,작성자,증권사,작성일
금융,주담대에 자동차할부까지...'변동금리' 대세될까,조아해,메리츠증권,2023-02-17
음식료,"‘카스 0.0’, 4분기 논알코올 음료 시장에서 시장 점유율 33.2%로 1위 기록",김정욱,메리츠증권,2023-02-16
자동차,IRA가 불댕긴 '전기차 치킨게임'...내연기관차보다 싼 전기차 속속 등장,김준성,메리츠증권,2023-02-16
운송,"Advantage, 한국조선소에 Suezmax 탱커 3척 발주 채비",배기연,메리츠증권,2023-02-16
금융,"신한은행, 대출 중개 플랫폼 출시한다...5대 은행 '최초'",조아해,메리츠증권,2023-02-16
제약,지나온 5년과 남은 5년…대웅제약의 톡신전쟁 3題,이선경,IBK투자증권,2023-02-15
자동차,"올해 전기차 가격, 휘발유차와 비슷해질 수 있다","김준성,",장재혁,2023-02-15
음식료,(하이트진로) ‘제로 슈거 진로’ 핑크 라벨 에디션 출시,"김정욱,",이성우,2023-02-15
운송,대우조선 1.2조 배상 피했다...합의로 중재 조기 종결,"배기연,",오정하,2023-02-15
금융,"금감원, 은행권 성과급 점검 나선다...은행은 ""노사 합의 사항"" 반발",조아해,메리츠증권,2023-02-15
미디어,"하이브, 이수만의 ‘광야’도 인수한다",이환욱,IBK투자증권,2023-02-14
자동차,"올해 전기차 가격, 휘발유차와 비슷해질 수 있다",김준성,메리츠증권,2023-02-14
음식료,(롯데칠성) 밀키스 제로 출시,김정욱,메리츠증권,2023-02-14
운송,"대우조선해양, LNG운반선 1척 3,145억원에 계약",배기연,메리츠증권,2023-02-14
금융,반짝 3% 주담대 금리... 다시 4%대로 상승,조아해,메리츠증권,2023-02-14
기타,"AI 2023년, 테마에서 산업으로","김세희,",박종선,2023-02-13
미디어,[미디어/엔터] SM엔터테인먼트 경영권 분쟁,이환욱,IBK투자증권,2023-02-13
제약,"대웅제약, 민사 소송 패소에 따른 영향은?",이선경,IBK투자증권,2023-02-13
항공,1월 항공데이터 발표,"배기연,",오정하,2023-02-13
통신,"통신비 인하 추진하는 정부, 피하는 통신사",정지수,메리츠증권,2023-02-13
전기전자,"1월 대만 IT 매출 동향: 예상했던 부진, 2 월 이후 수요 회복 확인 필요",양승수,메리츠증권,2023-02-13
자동차,"""OTA 평생 무료...단, 美 소비자만"" 현대차 파격 승부수","김준성,",장재혁,2023-02-13
음식료,(맥도날드) 맥도날드 가격 평균 5.4% 인상,"김정욱,",이성우,2023-02-13
운송,"현대중공업 군산조선소, 재가동 4개월만에 첫 블록 성공적 출항","배기연,",오정하,2023-02-13
금융,은행 예금금리 3개월만에 1.4%P 급락... 머니무브 시동,조아해,메리츠증권,2023-02-13
금융,"금통위원들이 바라본 올해 부동산...""더 나빠진다""",조아해,메리츠증권,2023-02-10
자동차,"美 전기차 시장, 테슬라發 '가격 인하' 전쟁...현대차그룹 전략은",김준성,메리츠증권,2023-02-09
음식료,(소비트렌드) 18만원 뷔페 오픈런 vs 4천원 도시락 불티,김정욱,메리츠증권,2023-02-09
운송,중국 단체관광 재개 첫날 68만명 출국...코로나 발생 이후 최대,배기연,메리츠증권,2023-02-09
운송,"방역당국, 중국인 단기비자 발급 제한 해제 검토",배기연,메리츠증권,2023-02-09
금융,'미분양' 부동산 리스크 폭탄 터질라...PF ABCP 매입 금리 조정 검토,조아해,메리츠증권,2023-02-09
조선,엔데믹 시대의 해상운송,"배기연,",오정하,2023-02-08
자동차,"기재부 ""한국 전기차 세제 지원도 충분한 수준""","김준성,",장재혁,2023-02-08
음식료,"한은, 중국 리오프닝 본격화될 경우, 글로벌 인플레이션 압력 확대시킬 수 있다는 우려","김정욱,",이성우,2023-02-08
금융,"금융당국, 부동산시장 악화시 추가 대출규제 완화 검토",조아해,메리츠증권,2023-02-08
통신,"‘제4이통’ 이번엔 나올까...정부, 연내 28㎓ 신규사업자 선정",정지수,메리츠증권,2023-02-06
자동차,"모델Y는 SUV” 美IRA 세제 혜택 받는다...테슬라, 가격 즉각 인상",김준성,메리츠증권,2023-02-06
음식료,(동원산업) 한국 맥도날드 인수 추진,김정욱,메리츠증권,2023-02-06
음식료,(옥수수) 23년 우크라이나 옥수수 파종 면적은 전년비 30~35% 감소할 것으로 예상.,김정욱,메리츠증권,2023-02-06
운송,"중국, 내일부터 20개국 해외 단체여행 재개…한국은 제외",배기연,메리츠증권,2023-02-06
금융,"""은행은 공공재"" 압박에... 은행들 수수료 면제-금리인하 경쟁",조아해,메리츠증권,2023-02-06
자동차,"전기차 판매비율 점점 늘어...한국 9.8%, 유럽은 15%",김준성,메리츠증권,2023-02-03
음식료,(BGF리테일) 고기 짬뽕 컵라면 출시 20일 만에 판매량 50만개 돌파,김정욱,메리츠증권,2023-02-03
운송,"IMM PE, 현대중공업 지분 안받는다",배기연,메리츠증권,2023-02-03
금융,"케이뱅크 결국 상장 철회...""적기에 재추진""",조아해,메리츠증권,2023-02-03
자동차,"현대차 아이오닉6, 미국서 1회 충전 주행거리 581㎞ 인증",김준성,메리츠증권,2023-02-02
음식료,궐련형 전자담배 ‘릴’의 해외 수출 금액 4Q22 실적 발표부터 공개할 방침,김정욱,메리츠증권,2023-02-02
운송,"OPEC+ ""원유 생산 200만배럴 감산 유지""",배기연,메리츠증권,2023-02-02
금융,새해도 5대 은행 가계대출 감소세 지속... 3.9조 뚝,조아해,메리츠증권,2023-02-02
은행,가계대출 금리억제와 수요둔화,전배승,이베스트투자증권,2023-02-01
제약,"삼성바이오, 연매출 3조 시대 열다",이선경,IBK투자증권,2023-02-01
은행,"NIM, 소폭 추가상승 전망",김은갑,IBK투자증권,2023-02-01
전기전자,TDK (6762.JP) / FY3Q23 실적: 전장향 실적 이상 무,양승수,메리츠증권,2023-02-01
음식료,"21년 연초와 궐련형 전자담배 등 담배 총 36억3천만갑 판매, 전년비 1.1% 증가","김정욱,",이성우,2023-02-01
운송,"현대미포조선, 2,227억 규모 P/C선 4척 수주 계약","배기연,",오정하,2023-02-01
금융,"김주현 금융위원장 ""부동산PF 위험 수준, 2013년 저축은행 사태 당시와 달라""",조아해,메리츠증권,2023-02-01
제약,유진 BP Insight / 글로벌 CDMO 산업 Update,권해순,유진투자증권,2023-01-31
전기전자,전기차 배터리 / 원통형 배터리 시장에 주목,한병화,유진투자증권,2023-01-31
자동차,"포드, 테슬라가 시작한 전기차 가격전쟁에 뛰어들어","김준성,",장재혁,2023-01-31
음식료,"(면세) LVMH 회장, 한국 면세업계 우회적 비판","김정욱,",이성우,2023-01-31
운송,中 석유·가스 수요 급증...올해 글로벌 에너지價 상승할 듯,"배기연,",오정하,2023-01-31
통신,"토스모바일 요금제 4종 베일 벗었다...""최대 1만원 캐시백""",정지수,메리츠증권,2023-01-30
자동차,"中정부 소비 강조에...상하이, 전기차 보조금 6개월 연장",김준성,메리츠증권,2023-01-30
음식료,"(농심) 대만에 이어 태국도 ‘신라면 블랙 두부김치 사발’ 수거 및 조사 중, 유해물질 검",김정욱,메리츠증권,2023-01-30
운송,"중국, 일본인 비자발급 재개...한국인 비자제한 당분간 유지할 듯",배기연,메리츠증권,2023-01-30
금융,"밀물처럼 들어왔던 정기 예적금, 썰물처럼 빠져",조아해,메리츠증권,2023-01-30
자동차,"중국 6→2위·한국 5→6위...자동차 수출량, 전기차에 울고 웃었다","김준성,",장재혁,2023-01-26
음식료,수입 맥주 가격 인상검토 중,"김정욱,",이성우,2023-01-26
운송,"현대글로비스, 폐배터리 재활용 시장 출사표...인니 처리기업 맞손","배기연,",오정하,2023-01-26
기타,"[IT/AI] 챗 GPT, AI 시대의 게임 체인저",이상헌,하이투자증권,2023-01-25
기타,[원자재] 수산화리튬의 시간이 다가오고 있다,이상헌,하이투자증권,2023-01-25
통신,"Weekly(1/16~1/20): KT, 대화형 초거대 AI 서 비스 상반기 중 상용화","최남곤,",강순건,2023-01-25
기타,[지주회사] Weekly(1/16~1/20): 주주행동주의 승리,"최남곤,",강순건,2023-01-25
제약,"SK바팜, ‘세노바메이트’ 뇌전증 적응증 확대 “3상 IND 제출”",이선경,IBK투자증권,2023-01-25
철강금속,"환율과 원자재, 그리고 중국 경제 재개",이유진,유진투자증권,2023-01-25
신재생에너지,해외 수소 관련주 주가 강세 전환,한병화,유진투자증권,2023-01-25
기타,2023 #STO 스터디 “모든 자산은 토큰화될 수 있다”,김세희,유진투자증권,2023-01-25
운송,"현대삼호중공업, 6,267억원 규모 LNGC 2척 공사계약",배기연,메리츠증권,2023-01-20
금융,"7%대 신용대출, 고정금리로 갈아탈까...'고정<병돈' 역전",조아해,메리츠증권,2023-01-20
음식료,"국내 면세점 12월 매출 전월비 -7.3% 감소, 외국인 매출 전월비 -9.2% 감소",김정욱,메리츠증권,2023-01-20
자동차,2022년 전기차 세계 점유율 10% 돌파 '이정표'...780만대 판매,김준성,메리츠증권,2023-01-19
음식료,"(주류) 맥주에 붙는 주세 올해 4월부터 ℓ당 30.5원 인상, 주류 가격 인상 전망",김정욱,메리츠증권,2023-01-19
운송,"티웨이항공, 차세대·친환경 항공기 B737-8 도입",배기연,메리츠증권,2023-01-19
금융,금리인하요구권 활성화한다...'평균 인하금리'까지 공시,조아해,메리츠증권,2023-01-19
자동차,"없어서 못 판다던 기아 EV6, ‘보조금’ 배제 IRA 칼날에...",김준성,메리츠증권,2023-01-18
음식료,"남미 남부 한여름에 극심한 가뭄에 시달리는 중, 곡물 가격 상승 부채질할 수 있다는 전망",김정욱,메리츠증권,2023-01-18
운송,"유럽, 대한항공-아시아나 합병 2월 17일 결정한다",배기연,메리츠증권,2023-01-18
금융,3%대로 내려간 예금금리...하나은행 홀로 4%대 유지,조아해,메리츠증권,2023-01-18
음식료,"KT, 조직개편·임원인사 잠정 연기...3월 주총까지 미뤄지나",정지수,메리츠증권,2023-01-16
자동차,"현대차, 베트남서 도요타에 밀렸다...4년 왕좌 반납","김준성,",장재혁,2023-01-16
음식료,(대형마트) 규제 완화 분위기전국으로 확산될지 관심 집중,"김정욱,",이성우,2023-01-16
금융,"기준금리는 오르고, 대출금리는 내리고... 시장은 혼란스럽고",조아해,메리츠증권,2023-01-16
자동차,"中비야디 ""급성장 인도 전기차 시장, 점유율 40% 목표""",김준성,메리츠증권,2023-01-13
음식료,"하이네켄, 유흥채널 가격 인상 검토 중, 위스키, 와인도 가격 인상 대열 합류 예정",김정욱,메리츠증권,2023-01-13
운송,"현대중공업, 임금 소송 10년여만에 끝...6,300억원대 지급",배기연,메리츠증권,2023-01-13
금융,"토스, 카페처럼... 카뱅, 은행권 최초 타사 대출까지 소개한다",조아해,메리츠증권,2023-01-13
자동차,"""이젠 빠른 차보다 똑똑한 차""...'반도체 큰손' 떠오른 車업계",김준성,메리츠증권,2023-01-12
인터넷포탈,"달라진 환경, 달라져야 할 전략",이효진,메리츠증권,2023-01-12
음식료,"(롯데칠성) 16일부로 '스카치블루' 가격 인상, 원액 단가 인상 여파",김정욱,메리츠증권,2023-01-12
운송,"중국, 한·일 국민 '中경유 비자면제' 중단...추가 보복조치",배기연,메리츠증권,2023-01-12
금융,"고정금리 전세대출 확대대나...KB국민, 하나, 우리 ""검토 중""",조아해,메리츠증권,2023-01-12
자동차,美서 생산 현대차 GV70도 ‘전기차 보조금’ 못받을 듯,"김준성,",장재혁,2023-01-10
음식료,22년 커피 및 음료점업 점포 수 전년비 17.4% 증가한 9만9천개 기록,"김정욱,",이성우,2023-01-10
운송,"태국, 입국 규제 강화 철회...""코로나 백신 접종 증명 불필요""","배기연,",오정하,2023-01-10
금융,"자사주 매입 후 소각 의무화... 당국, 제도 손본다",조아해,메리츠증권,2023-01-10
통신,국민연금이 쏘아올린 공...KT 임원인사·조직개편 발표 '안갯속',정지수,메리츠증권,2023-01-09
자동차,美국무부 경제차관 오늘 방한...공급망·IRA 등 논의 주목,김준성,메리츠증권,2023-01-09
음식료,"베트남 한국의 최대 무역 흑자국 첫 등극, K식품·패션·뷰티·프랜차이즈 수출 효자 노릇 중",김정욱,메리츠증권,2023-01-09
운송,"제주항공, 12월 국제선 코로나19 이전 70% 회복",배기연,메리츠증권,2023-01-09
금융,은행들 올해도 성과급 잔치... 당국 '대출금리' 손본다,조아해,메리츠증권,2023-01-09
전기전자,디스플레이 / 1 월 상반월 LCD 패널가,김선우,메리츠증권,2023-01-06
자동차,"中토종 전기차 BYD 회장 ""올해 400만대 생산 예정""","김준성,",장재혁,2023-01-06
음식료,"(CJ프레시웨이) 700억원의 회사채 모두 현금으로 상환할 예정, 재무구조 개선 일환","김정욱,",이성우,2023-01-06
운송,"중국 ""홍콩과 접경지역 왕래 8일 재개""","배기연,",오정하,2023-01-06
금융,가계대출 감소세에도... 급전 찾는 차주는 늘었다,조아해,메리츠증권,2023-01-06
전기전자,중국 11 월 스마트폰 출하량: 재고조정 긍정적,양승수,메리츠증권,2023-01-05
자동차,車 반도체 공급 여전히 어렵지만...현대차·기아 출고 빨라진다,김준성,메리츠증권,2023-01-05
운송,"HMM 민영화 속도...해수부 ""매각 컨설팅 추진""",배기연,메리츠증권,2023-01-05
음식료,"세계 인삼 소매시장 중 정관장 매출액 10억3,800만달러로 41.9%의 시장점유율 기록",김정욱,메리츠증권,2023-01-05
금융,중.저신용자 대출 비중 늘린 인터넷 은행...건전성 관리 '과제',조아해,메리츠증권,2023-01-05
조선,2023 년 현대중공업그룹 계획,배기연,메리츠증권,2023-01-04
자동차,"정의선 ""자율주행차 반도체 2000개...ICT회사처럼 치밀해져야""",김준성,메리츠증권,2023-01-04
음식료,"국회, 설 대비 물가 안정 대책 논의, 대형마트의 경우 최대 50% 할인 행사 진행",김정욱,메리츠증권,2023-01-04
은행,"2022년의 은행, 그리고 2023년을 향해",조아해,메리츠증권,2023-01-04
운송,"한국조선해양, 현대삼호重 상장 철회...""침체된 주식 시장 고려""",배기연,메리츠증권,2023-01-04
전기전자,배터리 윤의 Battery Insight,윤혁진,SK증권,2023-01-04
기계,"방위산업, 망설임이 필요 없는 이유",나승두,SK증권,2023-01-04
자동차,"올해도 ‘카플레이션’...대형 SUV 전기차 줄줄이, 가격 인상 ‘가속’",김준성,메리츠증권,2023-01-03
