stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
국도화학,1000.0,1500.0,1200.0,1500.0,1500.0,1500.0,1200.0,2200.0,1400.0
국동,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
국보,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국보디자인,250.0,250.0,250.0,280.0,280.0,300.0,320.0,340.0,400.0
국순당,50.0,50.0,50.0,170.0,260.0,100.0,160.0,260.0,210.0
국영지앤엠,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0
국일신동,25.0,50.0,50.0,75.0,50.0,50.0,30.0,50.0,50.0
국일제지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국전약품,,,,,,,,,
국제약품,10.0,0.0,10.0,10.0,30.0,0.0,0.0,0.0,0.0
그래디언트,30.0,30.0,50.0,50.0,50.0,70.0,20.0,50.0,200.0
그리티,,,,232.0,180.0,30.0,30.0,0.0,30.0
그린케미칼,160.0,160.0,160.0,410.0,160.0,170.0,210.0,220.0,230.0
그린플러스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
극동유화,700.0,1000.0,115.0,160.0,160.0,160.0,140.0,160.0,200.0
글로벌에스엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
글로벌텍스프리,,,,,,,,,
글로본,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금강공업,400.0,400.0,500.0,500.0,500.0,80.0,40.0,100.0,120.0
금강철강,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.0,120.0
금비,1000.0,1500.0,1800.0,1500.0,1700.0,1700.0,1300.0,1600.0,1300.0
금양,60.0,60.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
금양그린파워,,,,,,,145.0,149.0,339.0
금호건설,,,,,,,,,
금호석유,,,,,,,,,
금호에이치티,118.0,125.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0
금호전기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금호타이어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금화피에스시,900.0,900.0,900.0,900.0,1300.0,1300.0,1300.0,1300.0,1300.0
기가레인,,,,,,,,,
기산텔레콤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기신정기,200.0,200.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
기아,,,,,,,,,
기업은행,430.0,450.0,480.0,617.0,690.0,670.0,471.0,780.0,960.0
까뮤이앤씨,150.0,150.0,150.0,200.0,20.0,30.0,20.0,20.0,20.0
까스텔바작,,,,0.0,0.0,0.0,0.0,0.0,0.0
깨끗한나라,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
꿈비,,,,,,,120.0,0.0,0.0
나노,,,,,,,,,
나노브릭,,,,0.0,0.0,0.0,0.0,0.0,0.0
나노신소재,0.0,0.0,0.0,130.0,140.0,120.0,100.0,120.0,250.0
나노씨엠에스,,,,,,,0.0,0.0,0.0
나노엔텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나노캠텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나노팀,,,,,,,0.0,0.0,0.0
나라엠앤디,120.0,110.0,100.0,80.0,70.0,60.0,50.0,50.0,70.0
나래나노텍,,,,,,,100.0,200.0,100.0
나무가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나무기술,0.0,1176.0,0.0,,,,,,
나스미디어,290.0,360.0,390.0,690.0,530.0,660.0,800.0,800.0,700.0
나우IB,,,,0.0,150.0,150.0,150.0,150.0,180.0
나이벡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나이스디앤비,71.0,84.0,84.0,96.0,150.0,175.0,200.0,230.0,182.0
나이스정보통신,240.0,300.0,350.0,350.0,420.0,460.0,460.0,590.0,650.0
나인테크,,,,,,,,,
남광토건,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남선알미늄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성,,,,,,,,,
